match_id,season,date,match_number,event_name,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,match_type,gender,overs
1082591,2017,2017-04-05,1.0,Indian Premier League,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35.0,,Yuvraj Singh,AY Dandekar,NJ Llong,T20,male,20
1082592,2017,2017-04-06,2.0,Indian Premier League,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,,7.0,SPD Smith,A Nand Kishore,S Ravi,T20,male,20
1082593,2017,2017-04-07,3.0,Indian Premier League,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,10.0,CA Lynn,Nitin Menon,CK Nandan,T20,male,20
1082594,2017,2017-04-08,4.0,Indian Premier League,Indore,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,,6.0,GJ Maxwell,AK Chaudhary,C Shamshuddin,T20,male,20
1082595,2017,2017-04-08,5.0,Indian Premier League,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15.0,,KM Jadhav,S Ravi,VK Sharma,T20,male,20
1082596,2017,2017-04-09,6.0,Indian Premier League,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,9.0,Rashid Khan,A Deshmukh,NJ Llong,T20,male,20
1082597,2017,2017-04-09,7.0,Indian Premier League,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,,4.0,N Rana,Nitin Menon,CK Nandan,T20,male,20
1082598,2017,2017-04-10,8.0,Indian Premier League,Indore,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,,8.0,AR Patel,AK Chaudhary,C Shamshuddin,T20,male,20
1082599,2017,2017-04-11,9.0,Indian Premier League,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Delhi Daredevils,97.0,,SV Samson,AY Dandekar,S Ravi,T20,male,20
1082600,2017,2017-04-12,10.0,Indian Premier League,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,,4.0,JJ Bumrah,Nitin Menon,CK Nandan,T20,male,20
1082601,2017,2017-04-13,11.0,Indian Premier League,Kolkata,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,,8.0,SP Narine,A Deshmukh,NJ Llong,T20,male,20
